card_name,cate,card_type
E1 개인택시운송사업자 신한카드,공공/단체,신용카드
신한카드 국민행복,공공/단체,신용카드
신한 햇살론카드,공공/단체,신용카드
신한카드 아이행복,공공/단체,신용카드
신한카드 경차사랑 Life,공공/단체,신용카드
신한카드 EV,공공/단체,신용카드
청년동행 신한카드 B.Big(삑),공공/단체,신용카드
신한카드 아름다운,공공/단체,신용카드
국세청 복지 GS칼텍스 신한카드 Shine,공공/단체,신용카드
국세청 복지 신한카드 Lady,공공/단체,신용카드
공무원연금복지 GS칼텍스 신한카드 Shine,공공/단체,신용카드
공무원연금복지 SK에너지 신한카드 Oiling,공공/단체,신용카드
장애인 통합복지 신한카드 2030,공공/단체,신용카드
장애인 통합복지 신한카드 Lady,공공/단체,신용카드
신한카드 Shopping(한국유치원총연합회 교원증),공공/단체,신용카드
대한치과위생사협회 신한카드 Lady,공공/단체,신용카드
대한치과위생사협회 GS칼텍스 신한카드 BigPlus,공공/단체,신용카드
알뜰교통 신한카드,공공/단체,신용카드
화물운전자복지 신한카드,공공/단체,신용카드
SK에너지 2MORE 화물복지 신한카드,공공/단체,신용카드
알뜰주유소 화물운전자복지 신한카드,공공/단체,신용카드
현대오일뱅크 2UP 화물운전자복지 신한카드,공공/단체,신용카드
S-OIL 2UP 화물운전자복지 신한카드,공공/단체,신용카드
노란우산 신한카드,공공/단체,신용카드
개인택시운송자사업자 신한카드 T-플러스,공공/단체,신용카드
S.Sing 씽화물복지 신한카드,공공/단체,신용카드
외식가족공제 신한카드 Hi-point MyShop,공공/단체,신용카드
교직원복지 신한카드 LOVE,공공/단체,신용카드
한국전력공사 복지 신한카드 Love,공공/단체,신용카드
한국수력원자력 임직원복지 신한카드 LOVE,공공/단체,신용카드
SK One+ 화물복지 신한카드,공공/단체,신용카드
부산가족사랑 GS칼텍스 신한카드 Shine,공공/단체,신용카드
119 소방사랑 GS칼텍스 신한카드 Big Plus,공공/단체,신용카드
국민내일배움 신한카드 Simple,공공/단체,신용카드
IKEA for Business with 신한카드,사업자,신용카드
신한카드 Ownership,사업자,신용카드
신한카드 Hi-Point MyShop,사업자,신용카드
신한카드 Hi-Point MyShop PLATINUM#,사업자,신용카드
큰수레 비즈니스 신한카드 Simple+,사업자,신용카드
신한카드 Way 체크(최고심),생활,체크카드
신한카드 FANtastic S 체크(LoL),생활,체크카드
신한카드 FANtastic S 체크(DRX),생활,체크카드
LG트윈스 신한카드 체크,생활,체크카드
신한카드 On 체크(잔망루피),생활,체크카드
신한카드 봄(체크),생활,체크카드
신한카드 플리(체크),생활,체크카드
신한카드 플리 체크(산리오캐릭터즈),생활,체크카드
신한카드 Way 체크,생활,체크카드
신한카드 Way 체크(쥬라기),생활,체크카드
땡겨요 신한카드 체크,생활,체크카드
땡겨요 신한카드 체크(라이더형),생활,체크카드
카카오페이 신한 콘 체크카드,생활,체크카드
신한카드 Hey Young 체크,생활,체크카드
신한카드 4Tune 체크,생활,체크카드
신한카드 Deep Dream 체크,생활,체크카드
신한카드 미래설계 4Tune 체크,생활,체크카드
한국야쿠르트 팝 신한카드 체크,생활,체크카드
신한카드 Deep Dream 체크(미니언즈),생활,체크카드
SOL Deep Dream 신한카드 체크,생활,체크카드
신한카드 S-Line 체크(미니언즈),생활,체크카드
신한카드 S-Line 체크(마이펫),생활,체크카드
신한카드 S-Line 체크,생활,체크카드
신한카드 S-Choice(선택형) 체크,생활,체크카드
신한카드 Global + 체크,생활,체크카드
(배민커넥트) 신한카드 S-Line 체크,생활,체크카드
GS Prime 신한카드 체크,쇼핑,체크카드
아모레퍼시픽 신한카드 체크,쇼핑,체크카드
L.PAY 신한카드 체크,쇼핑,체크카드
마이 홈플러스 신한카드 체크,쇼핑,체크카드
신세계 신한카드 체크,쇼핑,체크카드
CJ ONE 신한카드 체크,쇼핑,체크카드
메가쇼핑 신한카드 체크,쇼핑,체크카드
다이소 신한카드 체크,쇼핑,체크카드
탑마트 보너스포인트 신한카드 체크,쇼핑,체크카드
신한카드 On 체크,온라인쇼핑,체크카드
신한카드 On 체크(쥬라기),온라인쇼핑,체크카드
11번가 신한카드 체크,온라인쇼핑,체크카드
위메프페이 신한카드 체크,온라인쇼핑,체크카드
네이버페이 신한카드 체크,온라인쇼핑,체크카드
몰테일 신한카드 체크,온라인쇼핑,체크카드
쿠팡 신한카드 체크,온라인쇼핑,체크카드
카카오페이 신한 체크카드,온라인쇼핑,체크카드
요기패스 신한카드 체크,외식/카페,체크카드
투썸플레이스 신한카드 체크,외식/카페,체크카드
EDIYA 신한카드 체크,외식/카페,체크카드
더본 신한카드 체크,외식/카페,체크카드
요기요 신한카드 체크,외식/카페,체크카드
신한카드 S-Choice(선택형) 체크,외식/카페,체크카드
신한카드 하이패스(전용) 체크,주유/교통,체크카드
신한카드 하이패스(전용) 체크(SIM형),주유/교통,체크카드
SOCAR 제휴 SOCAR 신한카드 체크,주유/교통,체크카드
신한카드 TEENS(틴즈) PLUS PONEY 체크 후불교통,문화/교육,체크카드
신한카드 TEENS(틴즈) PLUS PONEY 체크,문화/교육,체크카드
신한카드 JYP Fan’s EDM 체크,문화/교육,체크카드
KBO 제휴 신한카드 MY KBO 체크,문화/교육,체크카드
리디 신한카드 체크,문화/교육,체크카드
신한카드 FANtastic S 체크,여행/항공,체크카드
신한카드 Global Air 스카이패스 체크,여행/항공,체크카드
신한카드 Global Air 아시아나 체크,여행/항공,체크카드
신한카드 Global + 체크,여행/항공,체크카드
Plan YES 신한카드 Global+ 체크,통신/금융,체크카드
신한카드 Finnq 체크,통신/금융,체크카드
신한플러스 멤버십 체크,통신/금융,체크카드
KT 신한카드 체크,통신/금융,체크카드
신한카드 Change-Up 체크,통신/금융,체크카드
신한투자증권 CMA R+ 신한카드 Love 체크,통신/금융,체크카드
신한카드 주거래 체크,통신/금융,체크카드
삼성증권 CMA 신한카드 Big Plus 체크,통신/금융,체크카드
신한카드 국민행복 체크,공공/단체,체크카드
개인택시운송사업자 신한카드 체크,공공/단체,체크카드
신한카드 아이행복 체크,공공/단체,체크카드
신한카드 EV 체크,공공/단체,체크카드
GS칼텍스 신한카드 경차사랑 체크,공공/단체,체크카드
청년취업 FANtastic S 신한카드 체크,공공/단체,체크카드
나주사랑 신한카드 S-Choice(선택형) 체크,공공/단체,체크카드
성남시 아동수당 신한카드 Deep Dream 체크,공공/단체,체크카드
청년동행 신한카드 Deep Dream 체크,공공/단체,체크카드
성남사랑 신한카드 Deep Dream 체크,공공/단체,체크카드
화물운전자복지 신한카드 체크,공공/단체,체크카드
장애인 통합복지 신한카드 2030 체크,공공/단체,체크카드
장애인 통합복지 신한카드 Lady 체크,공공/단체,체크카드
S.Sing 씽화물복지 신한카드 체크,공공/단체,체크카드
알뜰주유소 화물운전자복지 신한카드 체크,공공/단체,체크카드
알뜰교통 신한카드 S20 체크,공공/단체,체크카드
스포츠바우처 카카오페이 신한 체크카드(무지),공공/단체,체크카드
공무원연금복지 신한카드 S-Choice (선택형) 체크,공공/단체,체크카드
성남사랑 신한카드 Deep Dream 체크(chak),공공/단체,체크카드
대덕e로움 신한카드 S-Choice 체크,공공/단체,체크카드
부산가족사랑 신한카드 S-Choice 체크,공공/단체,체크카드
신한카드 On 체크(한국유치원총연합회 교원증),공공/단체,체크카드
건담 신한카드,생활,제휴카드
베베쿡 신한카드,생활,제휴카드
프레딧 멤버십 신한카드,생활,제휴카드
T우주 신한카드,생활,제휴카드
오아시스 신한카드,생활,제휴카드
요기요 신한카드,생활,제휴카드
iMND Light 신한카드,생활,제휴카드
Z:IN 인테리어 신한카드,생활,제휴카드
에스원 안심 신한카드,생활,제휴카드
LF SQUARE 신한카드,생활,제휴카드
GS Prime 신한카드,쇼핑,제휴카드
IKEA Family with 신한카드,쇼핑,제휴카드
L.PAY 신한카드,쇼핑,제휴카드
아모레퍼시픽 신한카드,쇼핑,제휴카드
마이 홈플러스 신한카드,쇼핑,제휴카드
신세계 신한카드 SKYPASS / Asiana Club,쇼핑,제휴카드
신세계 신한카드,쇼핑,제휴카드
(대전신세계 엑스포점)신세계 신한카드,쇼핑,제휴카드
신세계 The BLOSSOM 신한카드,쇼핑,제휴카드
신세계사이먼 프리미엄 아울렛 신한카드,쇼핑,제휴카드
THE BOON VIP 신한카드,쇼핑,제휴카드
메가쇼핑 신한카드,쇼핑,제휴카드
다이소 신한카드,쇼핑,제휴카드
New LG전자 베스트샵 PLUS 신한카드,쇼핑,제휴카드
홈플러스 스페셜 신한카드,쇼핑,제휴카드
탑마트 보너스포인트 Plus 신한카드,쇼핑,제휴카드
탑마트 보너스포인트 신한카드,쇼핑,제휴카드
LG BEST SHOP 486 신한카드,쇼핑,제휴카드
네이버페이 라인프렌즈 신한카드,온라인쇼핑,제휴카드
11번가 신한카드,온라인쇼핑,제휴카드
네이버페이 신한카드,온라인쇼핑,제휴카드
위메프페이 신한카드,온라인쇼핑,제휴카드
투썸플레이스 신한카드,외식/카페,제휴카드
EDIYA 신한카드 Tasty,외식/카페,제휴카드
더본 신한카드,외식/카페,제휴카드
SK렌터카 신한카드 MY CAR,주유/교통,제휴카드
모바일 Tmoney 신한카드,주유/교통,제휴카드
SRT GS칼텍스 신한카드 Shine,주유/교통,제휴카드
SOCAR 제휴 SOCAR 신한카드,주유/교통,제휴카드
신한카드 Deep Oil(KCC오토그룹),주유/교통,제휴카드
LG트윈스 신한카드,문화/교육,제휴카드
KBO제휴 신한카드 MY KBO,문화/교육,제휴카드
리디 신한카드,문화/교육,제휴카드
울산현대축구단 신한카드 2030,문화/교육,제휴카드
제주신화월드 신한카드,여행/항공,제휴카드
제주항공 Refresh Point 신한카드,여행/항공,제휴카드
LG헬로비전 신한카드,통신/금융,제휴카드
카카오뱅크 신한카드,통신/금융,제휴카드
LG U+ Bora 신한카드 Big Plus,통신/금융,제휴카드
LG U+ 스마트플랜 Plus 신한카드,통신/금융,제휴카드
LG BEST 모바일 Gold 신한카드,통신/금융,제휴카드
SKT T라이트 신한카드,통신/금융,제휴카드
KT Super할부 Plus 신한카드,통신/금융,제휴카드
olleh 슈퍼 DC(Super DC) 신한카드 빅플러스,통신/금융,제휴카드
LG U+ 사장님 통할인 신한카드,통신/금융,제휴카드
신한투자증권 CMA R+ GS칼텍스 신한카드 Shine,통신/금융,제휴카드
