,연령,소득구간,월소득(만원),소비비율,저축/투자비율,부채상환비율,소비액,저축/투자액,부채상환액,적금/청약비율,연금저축(투자상품)비율,적금/청약액,연금저축(투자상품)액,외식/카페 비율,주유/교통 비율,통신비 비율,항공/여행 비율,문화/교육 비율,쇼핑 비율,주택청약가입,연금저축가입
213,29,1,89,0.571,0.212,0.062,51,19,6,0.151,0.064,13,6,0.112,0.101,0.057,0.088,0.14400000000000002,0.026999999999999996,1,0
214,25,1,98,0.551,0.226,0.059,54,22,6,0.158,0.058,15,6,0.112,0.057,0.063,0.045,0.155,0.136,0,1
219,22,1,101,0.569,0.241,0.065,57,24,7,0.181,0.062,18,6,0.21200000000000002,0.051,0.057,0.045,0.05499999999999999,0.136,0,1
224,29,1,90,0.536,0.235,0.063,48,21,6,0.165,0.06,15,5,0.21200000000000002,0.006999999999999999,0.006999999999999999,0.14500000000000002,0.105,0.086,1,1
231,20,1,94,0.555,0.216,0.065,52,20,6,0.163,0.061,15,6,0.21200000000000002,0.051,0.10700000000000001,0.05499999999999999,0.094,0.044,1,1
248,23,1,103,0.554,0.253,0.063,57,26,6,0.185,0.065,19,7,0.21200000000000002,0.006999999999999999,0.012999999999999998,0.095,0.094,0.136,1,1
299,27,1,86,0.631,0.211,0.059,54,18,5,0.143,0.054,12,5,0.196,0.057,0.006999999999999999,0.155,0.05499999999999999,0.094,0,1
316,24,1,92,0.629,0.239,0.065,58,22,6,0.173,0.067,16,6,0.112,0.10700000000000001,0.057,0.045,0.14400000000000002,0.086,0,1
320,27,1,95,0.536,0.239,0.061,51,23,6,0.156,0.065,15,6,0.21200000000000002,0.051,0.006999999999999999,0.095,0.155,0.03599999999999999,1,1
330,21,1,91,0.62,0.243,0.061,56,22,6,0.17,0.075,15,7,0.162,0.012999999999999998,0.063,0.14500000000000002,0.155,0.03599999999999999,1,1
332,21,1,85,0.634,0.217,0.07,54,18,6,0.144,0.057,12,5,0.09599999999999999,0.057,0.10700000000000001,0.088,0.05499999999999999,0.127,0,1
346,24,1,97,0.534,0.225,0.065,52,22,6,0.162,0.06,16,6,0.162,0.012999999999999998,0.012999999999999998,0.14500000000000002,0.155,0.086,1,1
361,25,1,97,0.629,0.255,0.064,61,25,6,0.168,0.075,16,7,0.178,0.012999999999999998,0.10700000000000001,0.138,0.044,0.077,0,1
371,27,1,85,0.589,0.238,0.065,50,20,6,0.18,0.067,15,6,0.162,0.063,0.113,0.14500000000000002,0.05499999999999999,0.03599999999999999,1,1
379,21,1,90,0.584,0.233,0.065,53,21,6,0.181,0.069,16,6,0.196,0.051,0.006999999999999999,0.138,0.05499999999999999,0.077,0,1
382,22,1,96,0.62,0.241,0.068,60,23,7,0.157,0.068,15,7,0.21200000000000002,0.063,0.057,0.045,0.165,0.03599999999999999,1,1
387,23,1,88,0.542,0.226,0.067,48,20,6,0.172,0.059,15,5,0.162,0.006999999999999999,0.101,0.14500000000000002,0.05499999999999999,0.086,0,1
392,22,1,92,0.618,0.216,0.067,57,20,6,0.146,0.065,13,6,0.21200000000000002,0.057,0.006999999999999999,0.105,0.155,0.044,1,0
398,21,1,99,0.532,0.251,0.07,53,25,7,0.196,0.071,19,7,0.112,0.000999999999999994,0.10700000000000001,0.14500000000000002,0.105,0.086,1,1
402,28,1,94,0.606,0.231,0.061,57,22,6,0.164,0.068,15,6,0.112,0.10700000000000001,0.057,0.095,0.05499999999999999,0.136,0,1
424,29,1,86,0.618,0.212,0.064,53,18,6,0.153,0.06,13,5,0.09599999999999999,0.000999999999999994,0.057,0.095,0.14400000000000002,0.136,1,1
434,28,1,86,0.533,0.236,0.067,46,20,6,0.182,0.072,16,6,0.196,0.006999999999999999,0.057,0.03799999999999999,0.155,0.077,1,1
438,21,1,98,0.579,0.241,0.064,57,24,6,0.181,0.07,18,7,0.09599999999999999,0.101,0.057,0.045,0.165,0.086,1,1
459,20,1,87,0.587,0.227,0.065,51,20,6,0.172,0.059,15,5,0.128,0.057,0.057,0.138,0.165,0.026999999999999996,1,1
462,21,1,99,0.617,0.217,0.07,61,21,7,0.154,0.055,15,5,0.178,0.10700000000000001,0.113,0.03799999999999999,0.05499999999999999,0.077,1,1
467,21,1,101,0.546,0.212,0.067,55,21,7,0.143,0.057,14,6,0.21200000000000002,0.006999999999999999,0.006999999999999999,0.088,0.105,0.127,1,1
472,25,1,85,0.531,0.216,0.063,45,18,5,0.146,0.055,12,5,0.128,0.051,0.101,0.095,0.044,0.136,0,1
489,22,1,101,0.574,0.251,0.068,58,25,7,0.181,0.072,18,7,0.112,0.10700000000000001,0.057,0.05499999999999999,0.094,0.14400000000000002,0,1
490,20,1,93,0.593,0.245,0.069,55,23,6,0.171,0.072,16,7,0.196,0.10700000000000001,0.057,0.095,0.065,0.03599999999999999,0,1
495,25,1,91,0.569,0.229,0.067,52,21,6,0.175,0.067,16,6,0.112,0.113,0.101,0.045,0.094,0.086,0,1
517,25,1,100,0.597,0.249,0.069,60,25,7,0.164,0.072,16,7,0.128,0.057,0.10700000000000001,0.088,0.065,0.127,1,1
518,24,1,103,0.553,0.221,0.065,57,23,7,0.154,0.065,16,7,0.112,0.10700000000000001,0.113,0.05499999999999999,0.105,0.094,0,0
526,23,1,92,0.598,0.236,0.061,55,22,6,0.185,0.07,17,6,0.162,0.113,0.006999999999999999,0.045,0.094,0.136,1,1
528,20,1,86,0.642,0.217,0.066,55,19,6,0.165,0.06,14,5,0.09599999999999999,0.057,0.101,0.095,0.155,0.03599999999999999,1,1
538,20,1,93,0.565,0.242,0.07,53,23,7,0.17,0.07,16,7,0.196,0.012999999999999998,0.057,0.088,0.05499999999999999,0.127,0,1
543,25,1,97,0.579,0.246,0.062,56,24,6,0.181,0.064,18,6,0.162,0.006999999999999999,0.113,0.05499999999999999,0.165,0.094,1,1
552,22,1,95,0.591,0.225,0.063,56,21,6,0.178,0.059,17,6,0.22799999999999998,0.063,0.063,0.14500000000000002,0.065,0.03599999999999999,0,1
566,24,1,92,0.639,0.236,0.07,59,22,6,0.156,0.062,14,6,0.09599999999999999,0.051,0.057,0.155,0.044,0.14400000000000002,1,1
569,20,1,91,0.552,0.24,0.066,50,22,6,0.172,0.068,16,6,0.196,0.057,0.063,0.155,0.044,0.044,0,1
574,28,1,101,0.562,0.215,0.066,57,22,7,0.166,0.065,17,7,0.196,0.10700000000000001,0.006999999999999999,0.088,0.05499999999999999,0.077,1,1
583,23,1,91,0.543,0.236,0.06,49,21,5,0.181,0.066,16,6,0.112,0.101,0.063,0.088,0.05499999999999999,0.127,1,1
584,21,1,97,0.528,0.222,0.07,51,22,7,0.144,0.059,14,6,0.21200000000000002,0.10700000000000001,0.063,0.045,0.044,0.086,0,1
589,21,1,87,0.582,0.228,0.063,51,20,5,0.173,0.064,15,6,0.112,0.10700000000000001,0.101,0.095,0.115,0.03599999999999999,0,1
590,21,1,87,0.58,0.247,0.069,50,21,6,0.194,0.067,17,6,0.162,0.113,0.006999999999999999,0.155,0.094,0.044,1,1
600,20,1,88,0.638,0.245,0.062,56,22,5,0.186,0.062,16,5,0.112,0.006999999999999999,0.063,0.14500000000000002,0.165,0.086,1,1
611,22,1,100,0.614,0.249,0.066,61,25,7,0.177,0.076,18,8,0.162,0.063,0.012999999999999998,0.03799999999999999,0.165,0.127,1,1
614,21,1,101,0.578,0.239,0.07,58,24,7,0.189,0.066,19,7,0.196,0.10700000000000001,0.012999999999999998,0.105,0.05499999999999999,0.094,1,1
615,26,1,102,0.555,0.216,0.06,57,22,6,0.168,0.057,17,6,0.128,0.057,0.006999999999999999,0.105,0.155,0.14400000000000002,0,1
623,24,1,94,0.611,0.249,0.06,57,23,6,0.166,0.063,16,6,0.112,0.113,0.057,0.05499999999999999,0.155,0.094,1,0
631,22,1,101,0.55,0.237,0.067,56,24,7,0.164,0.066,17,7,0.146,0.006999999999999999,0.006999999999999999,0.138,0.105,0.127,0,1
634,29,1,87,0.616,0.212,0.067,54,18,6,0.156,0.057,14,5,0.22799999999999998,0.057,0.006999999999999999,0.155,0.105,0.044,1,1
644,20,1,87,0.592,0.239,0.066,52,21,6,0.156,0.061,14,5,0.178,0.10700000000000001,0.012999999999999998,0.095,0.155,0.03599999999999999,1,1
659,21,1,95,0.577,0.251,0.068,55,24,6,0.166,0.064,16,6,0.162,0.10700000000000001,0.006999999999999999,0.095,0.165,0.03599999999999999,1,1
668,21,1,88,0.558,0.246,0.063,49,22,6,0.167,0.071,15,6,0.21200000000000002,0.006999999999999999,0.012999999999999998,0.095,0.105,0.136,0,1
675,28,1,103,0.557,0.245,0.07,57,25,7,0.189,0.07,19,7,0.21200000000000002,0.057,0.006999999999999999,0.05499999999999999,0.155,0.094,0,0
680,21,1,100,0.626,0.237,0.064,63,24,6,0.185,0.062,18,6,0.112,0.006999999999999999,0.10700000000000001,0.095,0.165,0.086,0,1
682,26,1,88,0.534,0.244,0.065,47,21,6,0.184,0.063,16,6,0.21200000000000002,0.051,0.000999999999999994,0.14500000000000002,0.105,0.03599999999999999,1,1
691,24,1,93,0.629,0.252,0.069,58,23,6,0.199,0.067,19,6,0.112,0.10700000000000001,0.057,0.05499999999999999,0.165,0.094,1,1
694,29,1,87,0.581,0.253,0.064,51,22,6,0.199,0.07,17,6,0.09599999999999999,0.101,0.051,0.045,0.14400000000000002,0.086,1,1
713,20,1,92,0.627,0.249,0.065,58,23,6,0.162,0.076,15,7,0.112,0.057,0.000999999999999994,0.138,0.165,0.077,1,1
732,21,1,97,0.58,0.251,0.065,56,24,6,0.199,0.064,19,6,0.196,0.051,0.057,0.05499999999999999,0.05499999999999999,0.14400000000000002,0,1
737,22,1,100,0.621,0.211,0.07,62,21,7,0.147,0.061,15,6,0.178,0.000999999999999994,0.10700000000000001,0.138,0.05499999999999999,0.077,1,1
742,20,1,99,0.562,0.239,0.061,56,24,6,0.166,0.065,16,6,0.162,0.10700000000000001,0.000999999999999994,0.045,0.155,0.086,1,1
773,21,1,92,0.575,0.253,0.067,53,23,6,0.193,0.072,18,7,0.128,0.113,0.057,0.138,0.094,0.026999999999999996,1,1
786,28,1,96,0.589,0.217,0.058,57,21,6,0.164,0.065,16,6,0.112,0.101,0.057,0.05499999999999999,0.165,0.094,1,1
790,27,1,87,0.603,0.25,0.066,52,22,6,0.17,0.068,15,6,0.112,0.063,0.063,0.138,0.05499999999999999,0.127,1,1
805,23,1,98,0.639,0.229,0.058,63,22,6,0.177,0.066,17,6,0.21200000000000002,0.051,0.000999999999999994,0.14500000000000002,0.05499999999999999,0.086,1,1
811,21,1,100,0.56,0.256,0.063,56,26,6,0.187,0.078,19,8,0.09599999999999999,0.006999999999999999,0.051,0.138,0.105,0.127,1,1
815,20,1,94,0.562,0.223,0.06,53,21,6,0.169,0.061,16,6,0.196,0.057,0.10700000000000001,0.045,0.115,0.03599999999999999,0,1
829,29,1,93,0.628,0.238,0.062,58,22,6,0.168,0.066,16,6,0.162,0.051,0.10700000000000001,0.03799999999999999,0.05499999999999999,0.127,0,1
837,25,1,91,0.63,0.232,0.064,57,21,6,0.177,0.062,16,6,0.09599999999999999,0.10700000000000001,0.057,0.095,0.05499999999999999,0.136,0,1
844,28,1,87,0.561,0.211,0.067,49,18,6,0.155,0.062,13,5,0.196,0.063,0.006999999999999999,0.14500000000000002,0.05499999999999999,0.086,1,1
847,29,1,103,0.616,0.25,0.065,63,26,7,0.175,0.064,18,7,0.162,0.000999999999999994,0.006999999999999999,0.14500000000000002,0.115,0.136,0,1
849,26,1,96,0.574,0.23,0.058,55,22,6,0.181,0.065,17,6,0.196,0.006999999999999999,0.006999999999999999,0.155,0.094,0.094,1,1
856,20,1,85,0.621,0.254,0.063,53,22,5,0.193,0.071,16,6,0.112,0.10700000000000001,0.057,0.045,0.094,0.136,1,1
862,28,1,94,0.535,0.243,0.061,50,23,6,0.182,0.062,17,6,0.162,0.000999999999999994,0.101,0.095,0.044,0.136,0,1
869,23,1,102,0.559,0.244,0.058,57,25,6,0.171,0.067,17,7,0.112,0.10700000000000001,0.006999999999999999,0.095,0.105,0.136,1,1
870,28,1,92,0.625,0.211,0.061,58,19,6,0.162,0.062,15,6,0.09599999999999999,0.012999999999999998,0.101,0.095,0.094,0.136,1,1
887,20,1,89,0.629,0.221,0.066,56,20,6,0.168,0.06,15,5,0.21200000000000002,0.006999999999999999,0.057,0.14500000000000002,0.115,0.03599999999999999,0,1
889,24,1,89,0.603,0.245,0.062,54,22,6,0.168,0.073,15,6,0.112,0.057,0.051,0.045,0.165,0.136,0,1
916,20,1,90,0.621,0.24,0.063,56,22,6,0.176,0.07,16,6,0.112,0.101,0.051,0.138,0.065,0.077,0,1
920,22,1,101,0.544,0.211,0.066,55,21,7,0.148,0.058,15,6,0.21200000000000002,0.057,0.000999999999999994,0.045,0.115,0.136,0,0
921,21,1,94,0.579,0.217,0.07,54,20,7,0.154,0.062,14,6,0.128,0.10700000000000001,0.057,0.095,0.05499999999999999,0.136,1,1
930,28,1,87,0.61,0.257,0.065,53,22,6,0.195,0.074,17,6,0.112,0.000999999999999994,0.101,0.095,0.105,0.136,1,1
939,24,1,95,0.528,0.211,0.062,50,20,6,0.146,0.06,14,6,0.112,0.006999999999999999,0.057,0.095,0.14400000000000002,0.136,1,0
945,24,1,85,0.634,0.257,0.058,54,22,5,0.17,0.071,14,6,0.128,0.057,0.057,0.155,0.14400000000000002,0.044,1,1
962,21,1,89,0.586,0.23,0.068,52,20,6,0.175,0.059,16,5,0.09599999999999999,0.057,0.012999999999999998,0.14500000000000002,0.094,0.136,1,1
973,22,1,89,0.562,0.226,0.067,50,20,6,0.161,0.059,14,5,0.22799999999999998,0.113,0.000999999999999994,0.045,0.094,0.086,0,1
985,22,1,94,0.608,0.245,0.069,57,23,6,0.16,0.073,15,7,0.162,0.012999999999999998,0.10700000000000001,0.045,0.165,0.086,1,0
996,26,1,102,0.611,0.251,0.06,62,26,6,0.185,0.065,19,7,0.112,0.10700000000000001,0.051,0.14500000000000002,0.065,0.086,1,1
1003,21,1,98,0.533,0.236,0.061,52,23,6,0.168,0.07,16,7,0.162,0.057,0.057,0.095,0.094,0.086,1,0
1014,25,1,98,0.54,0.229,0.067,53,22,7,0.157,0.066,15,6,0.178,0.057,0.057,0.095,0.094,0.086,1,1
1017,24,1,95,0.583,0.223,0.061,55,21,6,0.164,0.061,16,6,0.178,0.051,0.057,0.095,0.105,0.086,0,1
1025,28,1,94,0.628,0.255,0.059,59,24,6,0.182,0.071,17,7,0.162,0.057,0.063,0.095,0.115,0.086,0,1
1034,28,1,86,0.634,0.231,0.061,55,20,5,0.155,0.062,13,5,0.178,0.057,0.063,0.095,0.115,0.086,0,0
1054,21,1,103,0.562,0.234,0.058,58,24,6,0.161,0.072,17,7,0.162,0.051,0.051,0.095,0.105,0.086,1,1
1070,20,1,90,0.545,0.242,0.06,49,22,5,0.185,0.068,17,6,0.178,0.063,0.063,0.088,0.094,0.077,1,1
1073,23,1,85,0.612,0.235,0.06,52,20,5,0.168,0.064,14,5,0.178,0.057,0.063,0.105,0.105,0.094,1,1
1075,20,1,93,0.631,0.222,0.062,59,21,6,0.155,0.058,14,5,0.146,0.051,0.063,0.095,0.105,0.086,0,1
1077,23,1,97,0.598,0.222,0.058,58,22,6,0.147,0.059,14,6,0.146,0.057,0.057,0.088,0.094,0.077,1,1
1082,20,1,92,0.585,0.23,0.069,54,21,6,0.165,0.071,15,7,0.146,0.057,0.057,0.095,0.094,0.086,1,1
1083,27,1,101,0.6,0.236,0.059,61,24,6,0.175,0.061,18,6,0.178,0.057,0.057,0.095,0.105,0.086,0,1
1088,22,1,103,0.619,0.214,0.064,64,22,7,0.147,0.062,15,6,0.162,0.057,0.057,0.088,0.105,0.077,0,1
1090,26,1,102,0.556,0.211,0.067,57,22,7,0.146,0.056,15,6,0.146,0.063,0.057,0.095,0.105,0.086,1,1
1092,21,1,96,0.625,0.233,0.062,60,22,6,0.173,0.071,17,7,0.146,0.051,0.057,0.095,0.115,0.086,1,0
1097,23,1,88,0.629,0.229,0.065,55,20,6,0.152,0.063,13,6,0.146,0.051,0.051,0.095,0.105,0.086,0,0
1114,21,1,96,0.6,0.218,0.064,58,21,6,0.151,0.059,14,6,0.162,0.051,0.051,0.088,0.105,0.077,1,1
1120,26,1,101,0.62,0.223,0.066,63,23,7,0.17,0.057,17,6,0.162,0.057,0.057,0.088,0.094,0.077,1,1
1122,25,1,101,0.564,0.223,0.06,57,23,6,0.172,0.063,17,6,0.162,0.051,0.057,0.095,0.094,0.086,1,1
1129,27,1,89,0.592,0.212,0.066,53,19,6,0.147,0.059,13,5,0.178,0.051,0.057,0.105,0.105,0.094,1,1
1143,25,1,95,0.595,0.238,0.07,57,23,7,0.188,0.064,18,6,0.146,0.057,0.057,0.105,0.105,0.094,1,0
1150,21,1,98,0.58,0.242,0.066,57,24,6,0.185,0.069,18,7,0.146,0.051,0.057,0.105,0.105,0.094,0,1
1158,27,1,101,0.625,0.248,0.07,63,25,7,0.171,0.068,17,7,0.146,0.063,0.063,0.088,0.094,0.077,1,1
1160,20,1,100,0.544,0.237,0.061,54,24,6,0.185,0.069,18,7,0.162,0.057,0.057,0.088,0.105,0.077,0,1
1164,21,1,88,0.63,0.252,0.066,55,22,6,0.186,0.064,16,6,0.162,0.057,0.051,0.095,0.105,0.086,0,1
1167,21,1,94,0.62,0.257,0.058,58,24,5,0.171,0.07,16,7,0.162,0.063,0.051,0.088,0.105,0.077,0,1
1178,28,1,99,0.554,0.217,0.061,55,21,6,0.169,0.055,17,5,0.178,0.057,0.051,0.088,0.105,0.077,1,1
1180,22,1,103,0.551,0.248,0.059,57,26,6,0.161,0.068,17,7,0.146,0.051,0.063,0.095,0.105,0.086,1,1
1182,28,1,96,0.536,0.233,0.061,51,22,6,0.17,0.059,16,6,0.146,0.057,0.063,0.105,0.094,0.094,0,1
1186,20,1,98,0.536,0.232,0.062,53,23,6,0.174,0.064,17,6,0.146,0.057,0.051,0.105,0.094,0.094,0,1
1201,21,1,85,0.559,0.221,0.06,48,19,5,0.156,0.06,13,5,0.162,0.057,0.057,0.095,0.105,0.086,1,1
1210,28,1,93,0.614,0.218,0.063,57,20,6,0.146,0.055,14,5,0.146,0.057,0.057,0.105,0.105,0.094,0,1
1212,26,1,88,0.634,0.212,0.061,56,19,5,0.146,0.064,13,6,0.162,0.057,0.051,0.088,0.115,0.077,0,1
1229,25,1,92,0.572,0.214,0.058,53,20,5,0.154,0.059,14,5,0.162,0.063,0.063,0.095,0.105,0.086,1,0
1231,27,1,89,0.554,0.227,0.058,49,20,5,0.168,0.064,15,6,0.162,0.057,0.051,0.088,0.105,0.077,1,1
1256,26,1,88,0.546,0.216,0.065,48,19,6,0.154,0.061,14,5,0.178,0.051,0.057,0.105,0.105,0.094,0,1
1264,23,1,85,0.596,0.245,0.058,51,21,5,0.159,0.075,14,6,0.162,0.063,0.057,0.088,0.105,0.077,1,1
1266,21,1,92,0.547,0.237,0.061,50,22,6,0.164,0.06,15,6,0.178,0.063,0.057,0.105,0.105,0.094,1,1
1279,26,1,94,0.54,0.254,0.066,51,24,6,0.167,0.071,16,7,0.146,0.057,0.057,0.095,0.115,0.086,0,1
1289,24,1,86,0.606,0.241,0.058,52,21,5,0.169,0.069,15,6,0.162,0.057,0.057,0.095,0.094,0.086,1,1
1295,23,1,88,0.636,0.253,0.066,56,22,6,0.194,0.075,17,7,0.162,0.057,0.057,0.095,0.105,0.086,1,1
1296,28,1,88,0.6,0.229,0.067,53,20,6,0.167,0.064,15,6,0.162,0.057,0.057,0.105,0.115,0.094,1,1
1301,25,1,102,0.556,0.25,0.064,57,26,7,0.189,0.067,19,7,0.162,0.063,0.057,0.095,0.105,0.086,1,1
1304,26,1,98,0.527,0.256,0.07,52,25,7,0.192,0.065,19,6,0.162,0.063,0.057,0.088,0.105,0.077,1,1
1311,26,1,101,0.553,0.225,0.065,56,23,7,0.16,0.068,16,7,0.178,0.063,0.057,0.095,0.105,0.086,0,1
1318,26,1,86,0.554,0.251,0.069,48,22,6,0.198,0.074,17,6,0.178,0.057,0.057,0.088,0.115,0.077,1,1
1327,26,1,99,0.621,0.221,0.06,61,22,6,0.168,0.061,17,6,0.162,0.057,0.051,0.095,0.105,0.086,0,1
1334,20,1,103,0.615,0.218,0.06,63,22,6,0.164,0.059,17,6,0.178,0.063,0.057,0.095,0.105,0.086,0,1
1355,29,1,101,0.539,0.216,0.07,54,22,7,0.164,0.061,17,6,0.178,0.057,0.057,0.095,0.105,0.086,0,1
1367,26,1,102,0.576,0.236,0.06,59,24,6,0.185,0.07,19,7,0.162,0.057,0.057,0.088,0.105,0.077,1,1
1379,25,1,96,0.564,0.242,0.065,54,23,6,0.182,0.062,17,6,0.162,0.057,0.057,0.105,0.105,0.094,1,1
1391,29,1,86,0.589,0.251,0.07,51,22,6,0.198,0.074,17,6,0.162,0.063,0.063,0.105,0.105,0.094,0,1
1394,20,1,91,0.606,0.225,0.059,55,20,5,0.177,0.069,16,6,0.162,0.057,0.063,0.095,0.094,0.086,1,1
1396,21,1,93,0.608,0.243,0.067,57,23,6,0.177,0.065,16,6,0.178,0.051,0.057,0.095,0.115,0.086,0,1
1403,21,1,98,0.533,0.216,0.065,52,21,6,0.164,0.056,16,5,0.146,0.051,0.051,0.095,0.115,0.086,1,1
1420,21,1,91,0.54,0.252,0.063,49,23,6,0.178,0.074,16,7,0.178,0.057,0.051,0.105,0.115,0.094,0,0
1421,27,1,94,0.572,0.241,0.063,54,23,6,0.188,0.074,18,7,0.162,0.063,0.057,0.095,0.094,0.086,1,1
1424,27,1,103,0.544,0.233,0.065,56,24,7,0.17,0.063,18,6,0.162,0.057,0.063,0.088,0.105,0.077,1,1
1429,27,1,101,0.594,0.227,0.068,60,23,7,0.148,0.059,15,6,0.162,0.057,0.057,0.095,0.105,0.086,1,1
1431,28,1,94,0.633,0.229,0.061,60,22,6,0.18,0.065,17,6,0.162,0.057,0.057,0.088,0.105,0.077,0,1
1447,28,1,100,0.532,0.249,0.068,53,25,7,0.167,0.075,17,8,0.146,0.051,0.063,0.105,0.105,0.094,1,1
1448,27,1,102,0.595,0.227,0.068,61,23,7,0.165,0.061,17,6,0.146,0.057,0.051,0.095,0.105,0.086,0,1
1458,21,1,89,0.586,0.233,0.062,52,21,6,0.176,0.07,16,6,0.162,0.057,0.057,0.088,0.115,0.077,1,1
1474,29,1,91,0.597,0.245,0.062,54,22,6,0.172,0.074,16,7,0.146,0.063,0.057,0.095,0.105,0.086,1,1
1478,24,1,100,0.535,0.224,0.062,54,22,6,0.169,0.067,17,7,0.162,0.051,0.057,0.088,0.105,0.077,0,1
1486,29,1,92,0.575,0.236,0.063,53,22,6,0.18,0.069,17,6,0.162,0.063,0.057,0.088,0.115,0.077,1,1
